BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,COLLISION_ID
BROOKLYN,0,0,4289055
BROOKLYN,0,0,4292031
MANHATTAN,0,0,4289317
MANHATTAN,3,0,4289799
BROOKLYN,0,0,4289158
QUEENS,0,0,4289185
BROOKLYN,0,0,4290182
BRONX,0,0,4292448
MANHATTAN,1,0,4289690
BROOKLYN,0,0,4289207
QUEENS,1,0,4291923
BRONX,0,0,4289171
QUEENS,0,0,4289749
BRONX,0,0,4290302
BROOKLYN,0,0,4289400
QUEENS,0,0,4326337
QUEENS,0,0,4289153
QUEENS,0,0,4289156
QUEENS,0,0,4291122
BROOKLYN,0,0,4289453
BROOKLYN,0,0,4289408
QUEENS,1,0,4289022
MANHATTAN,0,0,4289551
QUEENS,0,0,4289752
MANHATTAN,0,0,4289141
MANHATTAN,0,0,4289738
QUEENS,0,0,4293839
QUEENS,0,0,4289721
STATEN ISLAND,1,0,4290459
QUEENS,0,0,4289850
QUEENS,0,0,4289182
BROOKLYN,2,0,4289107
BROOKLYN,0,0,4292027
BRONX,0,0,4289939
BROOKLYN,0,0,4289472
BRONX,0,0,4289289
BRONX,0,0,4289685
MANHATTAN,1,0,4289783
BROOKLYN,0,0,4289370
STATEN ISLAND,0,0,4290472
QUEENS,1,0,4289486
BRONX,0,0,4289620
BROOKLYN,0,0,4289204
BROOKLYN,0,0,4289325
QUEENS,0,0,4289304
BRONX,0,0,4289693
BROOKLYN,0,0,4289592
MANHATTAN,0,0,4289801
BROOKLYN,0,0,4289145
QUEENS,0,0,4289480
BROOKLYN,0,0,4289319
QUEENS,0,0,4289479
BROOKLYN,0,0,4289284
MANHATTAN,0,0,4293282
MANHATTAN,0,0,4290021
QUEENS,0,0,4289120
BROOKLYN,3,0,4289590
QUEENS,0,0,4289252
BROOKLYN,1,0,4289381
BRONX,0,0,4289519
STATEN ISLAND,0,0,4290465
BRONX,0,0,4289250
QUEENS,0,0,4351281
BROOKLYN,0,0,4289263
MANHATTAN,0,0,4289556
QUEENS,2,0,4289485
QUEENS,0,0,4290095
MANHATTAN,0,0,4289306
QUEENS,0,0,4289813
BROOKLYN,0,0,4290144
BROOKLYN,0,0,4289398
QUEENS,1,0,4289297
BROOKLYN,0,0,4290184
BROOKLYN,0,0,4289098
BRONX,1,0,4290105
BROOKLYN,0,0,4289503
BROOKLYN,0,0,4289758
QUEENS,0,0,4326343
QUEENS,0,0,4289671
BRONX,0,0,4289703
QUEENS,0,0,4289672
BROOKLYN,1,0,4296560
QUEENS,1,0,4289390
BROOKLYN,0,0,4289173
QUEENS,1,0,4289434
BROOKLYN,0,0,4289743
BROOKLYN,0,0,4289525
BRONX,0,0,4289736
BRONX,1,0,4289548
QUEENS,0,0,4289132
MANHATTAN,0,0,4288953
QUEENS,0,0,4290063
BRONX,0,0,4289246
MANHATTAN,1,0,4290040
BROOKLYN,0,0,4289604
QUEENS,0,0,4289844
QUEENS,0,0,4289195
BRONX,1,0,4289650
BROOKLYN,1,0,4289119
QUEENS,0,0,4289848
QUEENS,0,0,4290023
BROOKLYN,6,0,4291573
BRONX,0,0,4289571
MANHATTAN,0,0,4289286
BROOKLYN,0,0,4289363
BROOKLYN,0,0,4290185
QUEENS,0,0,4290066
QUEENS,0,0,4290020
QUEENS,0,0,4289279
BROOKLYN,2,0,4289402
BROOKLYN,0,0,4290132
BROOKLYN,0,0,4289770
BRONX,0,0,4289681
BROOKLYN,1,0,4289633
BRONX,0,0,4289665
BRONX,0,0,4289137
BROOKLYN,1,0,4289349
MANHATTAN,0,0,4289193
BROOKLYN,0,0,4288991
BROOKLYN,0,0,4290117
BROOKLYN,0,0,4289101
QUEENS,0,0,4289468
QUEENS,0,0,4289481
MANHATTAN,0,0,4289657
BROOKLYN,0,0,4289100
BRONX,0,0,4289543
MANHATTAN,0,0,4289781
QUEENS,0,0,4289108
BROOKLYN,0,0,4289526
MANHATTAN,0,0,4289569
BRONX,0,0,4291596
MANHATTAN,0,0,4289797
BROOKLYN,1,0,4289091
QUEENS,0,0,4289616
MANHATTAN,0,0,4290434
BROOKLYN,1,0,4289219
BROOKLYN,0,0,4292056
QUEENS,0,0,4289380
QUEENS,1,0,4289694
QUEENS,2,0,4289463
MANHATTAN,0,0,4290131
BRONX,0,0,4290260
QUEENS,0,0,4289648
QUEENS,0,0,4289647
MANHATTAN,0,0,4289256
MANHATTAN,1,0,4289775
BRONX,1,0,4289670
BROOKLYN,0,0,4296619
BROOKLYN,1,0,4289762
QUEENS,0,0,4289720
QUEENS,0,0,4293235
QUEENS,0,0,4289617
BROOKLYN,1,0,4290148
BROOKLYN,0,0,4298616
QUEENS,0,0,4289151
BRONX,0,0,4288912
MANHATTAN,1,0,4289344
QUEENS,0,0,4289307
BROOKLYN,0,0,4289283
MANHATTAN,1,0,4289697
BROOKLYN,0,0,4289403
MANHATTAN,2,0,4289096
BRONX,0,0,4289678
BRONX,0,0,4289828
BRONX,0,0,4289522
QUEENS,0,0,4290231
BROOKLYN,0,0,4292746
BROOKLYN,3,0,4289278
QUEENS,0,0,4290746
MANHATTAN,0,0,4289095
MANHATTAN,0,0,4289354
BRONX,1,0,4290980
BROOKLYN,2,0,4290138
MANHATTAN,0,0,4289097
BROOKLYN,0,0,4289198
MANHATTAN,0,0,4290008
BROOKLYN,0,0,4296179
QUEENS,0,0,4289484
BRONX,0,0,4289691
BROOKLYN,2,0,4289104
BRONX,0,0,4289520
QUEENS,0,0,4289157
QUEENS,0,0,4289274
QUEENS,0,0,4289154
QUEENS,1,0,4289469
BROOKLYN,1,0,4289600
BROOKLYN,1,0,4292936
BRONX,0,0,4289542
QUEENS,1,0,4289668
BROOKLYN,0,0,4288973
STATEN ISLAND,0,0,4290469
BRONX,1,0,4290104
BROOKLYN,0,0,4289748
BRONX,0,0,4289704
BRONX,0,0,4289262
BROOKLYN,0,0,4289826
QUEENS,0,0,4289299
QUEENS,2,0,4289251
STATEN ISLAND,0,0,4290303
BRONX,0,0,4289651
QUEENS,0,0,4289695
QUEENS,0,0,4289146
BROOKLYN,1,0,4289348
QUEENS,0,0,4289734
MANHATTAN,0,0,4289591
QUEENS,0,0,4289253
BRONX,0,0,4289499
MANHATTAN,0,0,4289623
QUEENS,0,0,4289024
QUEENS,0,0,4289494
QUEENS,3,0,4289663
QUEENS,0,0,4290026
BRONX,0,0,4291119
BROOKLYN,0,0,4289372
MANHATTAN,0,0,4289405
BROOKLYN,2,0,4290250
BRONX,0,0,4290145
BRONX,0,0,4289608
QUEENS,1,0,4289148
QUEENS,0,0,4289391
BROOKLYN,0,0,4289440
STATEN ISLAND,0,0,4290467
QUEENS,0,0,4289094
BROOKLYN,0,0,4289371
QUEENS,1,0,4289433
MANHATTAN,0,0,4289677
BROOKLYN,0,0,4290181
QUEENS,0,0,4299222
BROOKLYN,0,0,4289474
BROOKLYN,0,0,4290172
QUEENS,0,0,4289962
QUEENS,0,0,4289613
BRONX,0,0,4289684
BRONX,0,0,4289170
QUEENS,1,0,4289979
MANHATTAN,0,0,4289118
QUEENS,0,0,4289305
BRONX,0,0,4289653
BROOKLYN,1,0,4289476
BRONX,0,0,4294231
QUEENS,0,0,4289196
BROOKLYN,0,0,4289892
BROOKLYN,3,0,4289106
BROOKLYN,0,0,4289903
BROOKLYN,0,0,4289257
STATEN ISLAND,0,0,4289126
BROOKLYN,0,0,4296406
BRONX,0,0,4290450
BRONX,0,0,4289664
BRONX,0,0,4289271
QUEENS,1,0,4289698
BROOKLYN,1,0,4289285
BRONX,0,0,4289612
BROOKLYN,0,0,4290943
QUEENS,0,0,4290173
BROOKLYN,0,0,4290225
BROOKLYN,4,0,4290059
BROOKLYN,0,0,4292126
STATEN ISLAND,0,0,4290125
QUEENS,1,0,4289796
BRONX,0,0,4292643
BROOKLYN,1,0,4289994
BROOKLYN,0,0,4289922
BRONX,0,0,4290107
BRONX,0,0,4293145
BROOKLYN,0,0,4290134
BROOKLYN,0,0,4289901
BRONX,0,0,4290259
QUEENS,0,0,4290011
QUEENS,0,0,4290084
QUEENS,0,0,4293643
MANHATTAN,0,0,4290101
MANHATTAN,0,0,4290099
BRONX,0,0,4290593
QUEENS,0,0,4292215
QUEENS,0,0,4289988
BRONX,0,0,4292419
STATEN ISLAND,2,0,4290460
BRONX,0,0,4290592
MANHATTAN,1,0,4292358
BROOKLYN,0,0,4290044
BROOKLYN,1,0,4290136
MANHATTAN,0,0,4290252
BRONX,1,0,4291381
BRONX,1,0,4297197
QUEENS,0,0,4289966
BROOKLYN,0,0,4294962
BRONX,0,0,4296241
BROOKLYN,0,0,4291651
BROOKLYN,1,0,4290708
BROOKLYN,0,0,4290875
MANHATTAN,0,0,4293290
BROOKLYN,0,0,4289933
QUEENS,1,0,4289786
BROOKLYN,1,0,4290222
BROOKLYN,0,0,4290139
BROOKLYN,0,0,4289951
BROOKLYN,0,0,4290542
QUEENS,0,0,4289975
QUEENS,0,0,4290072
BRONX,0,0,4290154
BRONX,0,0,4292664
BROOKLYN,0,0,4292174
MANHATTAN,0,0,4290034
BROOKLYN,0,0,4289905
BROOKLYN,0,0,4290083
BROOKLYN,0,0,4289917
STATEN ISLAND,1,0,4290126
BROOKLYN,0,0,4290120
QUEENS,0,0,4290602
BROOKLYN,0,0,4290556
BROOKLYN,0,0,4290657
BROOKLYN,1,0,4290213
QUEENS,0,0,4289953
MANHATTAN,0,0,4290267
BROOKLYN,0,0,4290097
BRONX,0,0,4290576
BROOKLYN,1,0,4290004
BROOKLYN,0,0,4290056
QUEENS,0,0,4289867
BROOKLYN,0,0,4290226
BRONX,0,0,4290155
BRONX,0,0,4290002
MANHATTAN,0,0,4290130
BRONX,0,0,4297725
MANHATTAN,1,0,4292229
BROOKLYN,0,0,4290952
QUEENS,0,0,4290527
QUEENS,1,0,4289964
BROOKLYN,0,0,4289859
BRONX,0,0,4290001
MANHATTAN,0,0,4290271
MANHATTAN,0,0,4290165
BRONX,0,0,4290042
QUEENS,0,0,4289910
BRONX,2,0,4290263
QUEENS,1,0,4289751
BRONX,2,0,4290038
BROOKLYN,1,0,4295540
BROOKLYN,2,0,4289920
BROOKLYN,0,0,4290079
MANHATTAN,0,0,4290009
QUEENS,0,0,4289955
MANHATTAN,1,0,4290495
QUEENS,0,0,4291360
BRONX,0,0,4289864
BROOKLYN,0,0,4290055
BRONX,0,0,4290003
QUEENS,0,0,4289990
QUEENS,1,0,4290094
BROOKLYN,0,0,4290031
QUEENS,0,0,4289887
BROOKLYN,0,0,4289923
QUEENS,0,0,4289832
BROOKLYN,0,0,4290221
QUEENS,1,0,4289978
MANHATTAN,0,0,4293154
BRONX,1,0,4290179
BRONX,0,0,4290574
MANHATTAN,0,0,4290168
QUEENS,0,0,4289961
BROOKLYN,1,0,4290024
BRONX,0,0,4290650
BROOKLYN,1,0,4289993
BROOKLYN,0,0,4290546
QUEENS,0,0,4290367
QUEENS,0,0,4289957
QUEENS,0,0,4290061
MANHATTAN,0,0,4290371
QUEENS,1,0,4291728
QUEENS,0,0,4290017
BRONX,0,0,4290065
BROOKLYN,0,0,4290080
MANHATTAN,1,0,4290268
BROOKLYN,0,0,4290549
BROOKLYN,0,0,4297059
BROOKLYN,0,0,4296879
QUEENS,1,0,4290067
BROOKLYN,0,0,4290135
QUEENS,0,0,4290018
BROOKLYN,0,0,4290039
BRONX,1,0,4290682
BROOKLYN,0,0,4289932
BROOKLYN,0,0,4289985
BRONX,2,0,4290595
QUEENS,0,0,4289989
QUEENS,0,0,4289785
BROOKLYN,1,0,4291263
MANHATTAN,0,0,4290098
QUEENS,0,0,4289995
BROOKLYN,0,0,4289911
QUEENS,0,0,4290054
QUEENS,0,0,4289790
BRONX,0,0,4289829
BROOKLYN,0,0,4289904
BROOKLYN,1,0,4290060
MANHATTAN,0,0,4292359
QUEENS,2,0,4290429
BROOKLYN,0,0,4289996
QUEENS,0,0,4290069
MANHATTAN,0,0,4290151
BRONX,0,0,4291223
QUEENS,0,0,4289972
BROOKLYN,0,0,4289907
QUEENS,0,0,4289601
QUEENS,0,0,4290633
BROOKLYN,0,0,4291512
QUEENS,0,0,4289963
QUEENS,0,0,4290073
BROOKLYN,0,0,4290025
BROOKLYN,0,0,4289427
MANHATTAN,0,0,4290272
BROOKLYN,0,0,4291168
MANHATTAN,0,0,4292646
BROOKLYN,0,0,4290274
BROOKLYN,0,0,4290007
BROOKLYN,0,0,4291881
BROOKLYN,0,0,4290051
QUEENS,0,0,4289958
BROOKLYN,0,0,4289898
BROOKLYN,2,0,4289744
MANHATTAN,0,0,4291475
BROOKLYN,0,0,4289858
QUEENS,0,0,4289893
BRONX,0,0,4289731
QUEENS,0,0,4289973
STATEN ISLAND,1,0,4290289
BROOKLYN,0,0,4289916
MANHATTAN,0,0,4290722
BRONX,0,0,4292449
QUEENS,0,0,4289987
QUEENS,0,0,4289780
BRONX,0,0,4290382
BROOKLYN,1,0,4289906
BROOKLYN,0,0,4289918
BRONX,0,0,4289812
QUEENS,0,0,4289831
QUEENS,0,0,4290240
QUEENS,0,0,4289861
BROOKLYN,0,0,4290057
BROOKLYN,0,0,4290611
BROOKLYN,0,0,4294575
QUEENS,0,0,4289794
BROOKLYN,1,0,4289926
QUEENS,0,0,4289459
BRONX,0,0,4290863
BROOKLYN,0,0,4291740
BRONX,0,0,4290156
QUEENS,0,0,4291542
BRONX,0,0,4290649
BROOKLYN,0,0,4290224
BROOKLYN,0,0,4296163
BRONX,0,0,4290596
QUEENS,0,0,4290053
BROOKLYN,0,0,4289919
QUEENS,0,0,4290745
QUEENS,1,0,4290617
QUEENS,0,0,4289970
QUEENS,0,0,4290092
BROOKLYN,1,0,4290547
BROOKLYN,0,0,4289902
MANHATTAN,1,0,4291524
BROOKLYN,0,0,4290090
BROOKLYN,0,0,4289896
BROOKLYN,0,0,4296675
STATEN ISLAND,1,0,4290290
BROOKLYN,1,0,4290508
QUEENS,0,0,4290257
MANHATTAN,0,0,4290494
QUEENS,0,0,4289714
MANHATTAN,0,0,4290012
BROOKLYN,1,0,4289925
QUEENS,0,0,4289791
BROOKLYN,1,0,4290048
MANHATTAN,2,1,4289784
BRONX,0,0,4290124
MANHATTAN,0,0,4290446
QUEENS,2,0,4290091
BROOKLYN,0,0,4291302
BROOKLYN,0,0,4290227
BRONX,0,0,4290453
QUEENS,0,0,4290334
BROOKLYN,0,0,4299164
BRONX,0,0,4292453
QUEENS,1,0,4293796
BRONX,1,0,4290662
BROOKLYN,1,0,4290599
BRONX,0,0,4290462
BROOKLYN,0,0,4296405
QUEENS,1,0,4290493
BROOKLYN,0,0,4290351
MANHATTAN,1,0,4293177
BROOKLYN,0,0,4290417
QUEENS,0,0,4290210
BROOKLYN,0,0,4291300
BROOKLYN,0,0,4291379
MANHATTAN,0,0,4290163
MANHATTAN,0,0,4290189
MANHATTAN,0,0,4290362
MANHATTAN,1,0,4290645
MANHATTAN,0,0,4290269
BRONX,0,0,4290652
QUEENS,1,0,4290426
QUEENS,0,0,4290340
STATEN ISLAND,3,0,4290473
MANHATTAN,0,0,4290320
QUEENS,1,0,4290484
BRONX,0,0,4292553
QUEENS,1,0,4290540
BROOKLYN,2,0,4290608
BROOKLYN,0,0,4392799
BRONX,0,0,4290579
BROOKLYN,0,0,4291207
QUEENS,0,0,4291118
BRONX,0,0,4290266
MANHATTAN,0,0,4293283
BROOKLYN,0,0,4290601
QUEENS,0,0,4290128
QUEENS,0,0,4290521
BROOKLYN,0,0,4290223
BROOKLYN,0,0,4290343
BROOKLYN,2,0,4290300
BROOKLYN,1,0,4291282
STATEN ISLAND,0,0,4290456
BROOKLYN,0,0,4290345
QUEENS,0,0,4291243
BRONX,0,0,4293259
BROOKLYN,0,0,4290137
QUEENS,3,0,4290803
BROOKLYN,0,0,4290285
BROOKLYN,1,0,4290533
BROOKLYN,0,0,4290550
QUEENS,0,0,4290391
STATEN ISLAND,0,0,4290286
BROOKLYN,0,0,4290354
BROOKLYN,0,0,4290655
BROOKLYN,1,0,4290419
QUEENS,0,0,4290086
BROOKLYN,0,0,4290310
MANHATTAN,0,0,4290693
MANHATTAN,0,0,4290361
QUEENS,0,0,4291113
QUEENS,1,0,4290350
QUEENS,0,0,4290283
BRONX,0,0,4290373
BROOKLYN,0,0,4291332
BRONX,1,0,4290506
BROOKLYN,0,0,4290327
BROOKLYN,1,0,4291377
BROOKLYN,0,0,4290557
BROOKLYN,1,0,4290612
BRONX,1,0,4290379
QUEENS,0,0,4290147
QUEENS,0,0,4290230
MANHATTAN,1,0,4290755
BROOKLYN,0,0,4290416
QUEENS,0,0,4291990
BROOKLYN,0,0,4290613
BROOKLYN,1,0,4290512
BRONX,0,0,4292173
MANHATTAN,0,0,4290164
BROOKLYN,0,0,4290414
QUEENS,0,0,4291115
BROOKLYN,0,0,4290301
BROOKLYN,0,0,4290941
BROOKLYN,0,0,4290614
QUEENS,0,0,4290325
QUEENS,2,0,4290427
QUEENS,0,0,4290232
BRONX,0,0,4290577
MANHATTAN,0,0,4290680
QUEENS,0,0,4290428
MANHATTAN,0,0,4290619
QUEENS,0,0,4290422
BRONX,0,0,4290381
QUEENS,0,0,4290820
MANHATTAN,0,0,4294874
BROOKLYN,1,0,4290421
BROOKLYN,0,0,4290470
BROOKLYN,0,0,4290732
MANHATTAN,0,0,4290370
STATEN ISLAND,0,0,4290369
QUEENS,0,0,4290648
BROOKLYN,0,0,4290243
QUEENS,1,0,4290358
QUEENS,1,0,4290524
MANHATTAN,0,0,4290517
BROOKLYN,1,0,4290309
BROOKLYN,0,0,4290045
BRONX,0,0,4297350
BROOKLYN,1,0,4290504
BROOKLYN,1,0,4290728
QUEENS,0,0,4290337
BROOKLYN,0,0,4292478
BROOKLYN,0,0,4293549
MANHATTAN,0,0,4290188
BRONX,1,0,4290597
QUEENS,1,0,4290610
QUEENS,1,0,4290306
MANHATTAN,0,0,4290457
BROOKLYN,0,0,4290298
BRONX,0,0,4291444
QUEENS,0,0,4290505
BROOKLYN,2,0,4291618
BROOKLYN,0,0,4290415
QUEENS,0,0,4290395
MANHATTAN,1,0,4290394
MANHATTAN,1,1,4290824
BRONX,0,0,4292500
BROOKLYN,0,0,4291742
QUEENS,0,0,4290335
MANHATTAN,0,0,4290316
QUEENS,0,0,4290375
MANHATTAN,0,0,4290363
MANHATTAN,0,0,4290454
QUEENS,0,0,4289982
STATEN ISLAND,0,0,4290461
BROOKLYN,1,0,4290796
QUEENS,0,0,4290523
MANHATTAN,0,0,4290216
BROOKLYN,0,0,4290625
QUEENS,0,0,4290404
BRONX,0,0,4292517
QUEENS,0,0,4290356
QUEENS,0,0,4290194
BROOKLYN,0,0,4290606
QUEENS,0,0,4291359
QUEENS,0,0,4291716
QUEENS,1,0,4291965
QUEENS,0,0,4290359
MANHATTAN,0,0,4290215
BRONX,0,0,4292511
BROOKLYN,0,0,4290607
MANHATTAN,2,0,4290407
QUEENS,0,0,4291061
BRONX,2,0,4290578
BRONX,1,0,4290440
QUEENS,1,0,4290564
BROOKLYN,0,0,4291285
QUEENS,0,0,4290197
QUEENS,0,0,4290386
BROOKLYN,0,0,4292899
BRONX,1,0,4290598
BRONX,0,0,4290383
QUEENS,0,0,4290400
BRONX,0,0,4290308
QUEENS,1,0,4291138
MANHATTAN,0,0,4290106
QUEENS,1,0,4290376
BRONX,0,0,4290705
BROOKLYN,0,0,4290277
MANHATTAN,1,0,4290703
MANHATTAN,0,0,4292609
BROOKLYN,0,0,4290178
BRONX,0,0,4290380
QUEENS,0,0,4290275
BROOKLYN,0,0,4290228
MANHATTAN,0,0,4290372
QUEENS,0,0,4290344
QUEENS,0,0,4290887
MANHATTAN,0,0,4290455
QUEENS,0,0,4290669
BROOKLYN,0,0,4292013
QUEENS,1,0,4290366
BRONX,0,0,4290510
BROOKLYN,0,0,4290153
BROOKLYN,0,0,4290477
QUEENS,0,0,4290481
BROOKLYN,1,0,4290100
QUEENS,0,0,4290548
MANHATTAN,0,0,4290443
QUEENS,0,0,4289991
QUEENS,2,0,4290013
MANHATTAN,0,0,4292306
BROOKLYN,0,0,4297811
BROOKLYN,0,0,4290571
QUEENS,1,0,4290305
BROOKLYN,0,0,4290929
QUEENS,0,0,4290492
BROOKLYN,0,0,4290129
QUEENS,0,0,4291009
BROOKLYN,0,0,4290299
MANHATTAN,0,0,4290393
MANHATTAN,0,0,4290331
BRONX,0,0,4290488
BROOKLYN,0,0,4293942
BROOKLYN,2,0,4290559
MANHATTAN,0,0,4290609
MANHATTAN,0,0,4290329
QUEENS,0,0,4290206
BROOKLYN,0,0,4290558
MANHATTAN,0,0,4290167
QUEENS,1,0,4290402
QUEENS,0,0,4290536
MANHATTAN,0,0,4290328
BROOKLYN,0,0,4290921
QUEENS,0,0,4290196
BROOKLYN,2,0,4290118
BROOKLYN,1,0,4290293
BROOKLYN,0,0,4290572
BROOKLYN,0,0,4290355
BROOKLYN,0,0,4290261
QUEENS,1,0,4290827
MANHATTAN,0,0,4292727
MANHATTAN,0,0,4290242
QUEENS,1,0,4290140
BROOKLYN,1,0,4290573
BROOKLYN,0,0,4291283
BROOKLYN,0,0,4290615
QUEENS,0,0,4290360
BRONX,0,0,4291601
BROOKLYN,0,0,4290945
QUEENS,0,0,4290209
BRONX,0,0,4292461
QUEENS,0,0,4290307
BRONX,0,0,4296731
QUEENS,0,0,4290490
QUEENS,0,0,4290567
QUEENS,0,0,4290175
QUEENS,0,0,4290324
BROOKLYN,3,0,4295376
BROOKLYN,1,0,4290448
BROOKLYN,1,0,4290192
BROOKLYN,0,0,4292052
BROOKLYN,0,0,4290420
QUEENS,0,0,4290346
BROOKLYN,0,0,4290670
MANHATTAN,0,0,4290717
QUEENS,0,0,4290423
QUEENS,0,0,4290396
BRONX,1,0,4292499
MANHATTAN,1,0,4290244
MANHATTAN,1,0,4290019
BROOKLYN,0,0,4292137
QUEENS,0,0,4290515
BROOKLYN,0,0,4290342
MANHATTAN,0,0,4290365
BRONX,0,0,4292501
BROOKLYN,0,0,4292363
STATEN ISLAND,2,0,4290471
QUEENS,0,0,4290204
MANHATTAN,0,0,4290377
BROOKLYN,0,0,4290149
QUEENS,0,0,4290479
BRONX,0,0,4290905
QUEENS,1,0,4290384
MANHATTAN,0,0,4290332
QUEENS,0,0,4290411
MANHATTAN,0,0,4290518
BRONX,0,0,4290532
QUEENS,0,0,4290245
BROOKLYN,0,0,4290247
QUEENS,0,0,4290642
BROOKLYN,0,0,4290658
BROOKLYN,1,0,4290961
QUEENS,1,0,4290388
QUEENS,0,0,4290390
BROOKLYN,1,0,4290940
QUEENS,0,0,4290482
BROOKLYN,0,0,4290478
BRONX,0,0,4291020
QUEENS,0,0,4290397
QUEENS,0,0,4290258
BROOKLYN,0,0,4290338
MANHATTAN,0,0,4290033
BROOKLYN,3,0,4290501
QUEENS,0,0,4290487
QUEENS,0,0,4290715
BRONX,0,0,4290740
QUEENS,0,0,4290893
QUEENS,0,0,4290805
BROOKLYN,1,0,4290681
BROOKLYN,0,0,4292312
MANHATTAN,0,0,4290752
BROOKLYN,0,0,4291622
QUEENS,0,0,4290804
QUEENS,0,0,4291072
BROOKLYN,0,0,4291371
BROOKLYN,0,0,4291208
QUEENS,0,0,4290857
BROOKLYN,0,0,4291362
BROOKLYN,0,0,4290810
BRONX,0,0,4290981
QUEENS,0,0,4290835
MANHATTAN,0,0,4291307
BRONX,1,0,4291383
BRONX,0,0,4290741
MANHATTAN,0,0,4290643
MANHATTAN,0,0,4291752
MANHATTAN,0,0,4291569
BROOKLYN,0,0,4291284
MANHATTAN,0,0,4290988
MANHATTAN,2,0,4298406
MANHATTAN,0,0,4290950
BRONX,0,0,4290979
QUEENS,1,0,4290828
QUEENS,1,0,4290837
QUEENS,0,0,4290687
BRONX,0,0,4291039
QUEENS,0,0,4290750
BROOKLYN,0,0,4291044
MANHATTAN,0,0,4290718
BROOKLYN,0,0,4291236
BRONX,0,0,4290744
QUEENS,0,0,4290802
MANHATTAN,0,0,4290726
QUEENS,0,0,4290774
QUEENS,1,0,4290800
QUEENS,1,0,4291829
MANHATTAN,0,0,4290699
BROOKLYN,0,0,4292477
BRONX,0,0,4290646
MANHATTAN,1,0,4290756
BROOKLYN,0,0,4290852
QUEENS,0,0,4290799
BRONX,1,0,4290897
BROOKLYN,0,0,4290809
MANHATTAN,0,0,4293142
MANHATTAN,0,0,4290989
BROOKLYN,0,0,4290724
BROOKLYN,0,0,4290850
QUEENS,0,0,4291724
QUEENS,0,0,4291136
BROOKLYN,0,0,4291405
QUEENS,0,0,4290785
MANHATTAN,0,0,4290812
MANHATTAN,1,0,4293046
BROOKLYN,0,0,4291026
BRONX,1,0,4292748
QUEENS,0,0,4290784
QUEENS,0,0,4293645
BROOKLYN,1,0,4291024
BRONX,0,0,4292747
QUEENS,0,0,4291079
BROOKLYN,0,0,4291309
BRONX,1,0,4291123
BRONX,0,0,4290739
BROOKLYN,0,0,4290790
BROOKLYN,1,0,4291298
BROOKLYN,0,0,4290922
QUEENS,0,0,4291281
QUEENS,0,0,4290483
BRONX,2,0,4291478
QUEENS,0,0,4290765
QUEENS,1,0,4294349
QUEENS,0,0,4290700
MANHATTAN,0,0,4290987
BRONX,0,0,4290913
MANHATTAN,0,0,4290502
BROOKLYN,0,0,4291619
BRONX,0,0,4290915
QUEENS,0,0,4290764
BROOKLYN,0,0,4290876
BROOKLYN,0,0,4290854
QUEENS,3,0,4290701
QUEENS,1,0,4291435
BROOKLYN,1,0,4295594
MANHATTAN,1,0,4290702
STATEN ISLAND,0,0,4290867
MANHATTAN,0,0,4291936
QUEENS,0,0,4290839
BROOKLYN,0,0,4291291
BROOKLYN,0,0,4290902
BROOKLYN,0,0,4291030
QUEENS,0,0,4290776
BRONX,1,0,4292172
BRONX,1,0,4290916
BROOKLYN,1,0,4290691
BROOKLYN,0,0,4291605
QUEENS,1,0,4291189
BROOKLYN,0,0,4292100
MANHATTAN,0,0,4292642
BROOKLYN,0,0,4290795
BRONX,1,0,4291430
QUEENS,0,0,4291077
MANHATTAN,0,0,4291245
MANHATTAN,0,0,4290928
BROOKLYN,3,0,4291378
BROOKLYN,3,0,4292464
BROOKLYN,0,0,4292081
QUEENS,2,0,4290780
BRONX,1,0,4291461
BROOKLYN,0,0,4291025
BRONX,0,0,4292103
QUEENS,0,0,4290791
MANHATTAN,0,0,4291174
BROOKLYN,1,0,4290731
STATEN ISLAND,0,0,4290874
STATEN ISLAND,0,0,4291354
BROOKLYN,0,0,4291684
BRONX,1,0,4290914
QUEENS,0,0,4290982
BROOKLYN,0,0,4290903
BROOKLYN,0,0,4290962
BROOKLYN,0,0,4290904
BROOKLYN,2,0,4291022
QUEENS,0,0,4290860
QUEENS,0,0,4291060
BROOKLYN,0,0,4290679
BROOKLYN,1,0,4290788
BROOKLYN,0,0,4290912
BROOKLYN,0,0,4290675
MANHATTAN,1,0,4291246
QUEENS,0,0,4290978
BRONX,0,0,4290977
QUEENS,0,0,4290710
MANHATTAN,0,0,4290931
MANHATTAN,2,0,4291675
QUEENS,1,0,4290786
BRONX,1,0,4302199
QUEENS,0,0,4305184
MANHATTAN,0,0,4290881
QUEENS,2,0,4291070
QUEENS,1,0,4291259
MANHATTAN,1,0,4290814
MANHATTAN,0,0,4290953
BRONX,0,0,4291590
QUEENS,0,0,4290816
BROOKLYN,0,0,4290920
BROOKLYN,0,0,4290730
QUEENS,2,0,4290659
BROOKLYN,0,0,4292382
BROOKLYN,0,0,4291507
MANHATTAN,0,0,4290932
BROOKLYN,0,0,4290622
MANHATTAN,0,0,4290661
MANHATTAN,0,0,4293911
BROOKLYN,0,0,4290944
BROOKLYN,0,0,4290689
MANHATTAN,0,0,4291469
BROOKLYN,0,0,4290436
BROOKLYN,0,0,4291028
QUEENS,0,0,4290769
