BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,COLLISION_ID
MANHATTAN,0,0,4267562
BRONX,0,0,4268084
BRONX,0,0,4268871
BROOKLYN,0,0,4267712
MANHATTAN,0,0,4267796
BROOKLYN,2,0,4267711
BROOKLYN,2,0,4267762
BROOKLYN,0,0,4271702
QUEENS,0,0,4268707
QUEENS,0,0,4267779
QUEENS,1,0,4381071
QUEENS,0,0,4267609
BROOKLYN,0,0,4269170
BRONX,0,0,4268941
QUEENS,0,0,4267629
BROOKLYN,0,0,4268046
BRONX,0,0,4268088
BROOKLYN,0,0,4268023
BROOKLYN,1,0,4268061
BROOKLYN,0,0,4267893
QUEENS,0,0,4267610
BROOKLYN,0,0,4267688
QUEENS,0,0,4267846
QUEENS,1,0,4268075
BRONX,0,0,4267784
MANHATTAN,0,0,4267482
BROOKLYN,0,0,4271583
BROOKLYN,0,0,4267656
BROOKLYN,0,0,4267698
QUEENS,0,0,4268477
BROOKLYN,0,0,4268282
QUEENS,1,0,4267865
BROOKLYN,0,0,4270000
QUEENS,0,0,4267960
BROOKLYN,0,0,4269438
MANHATTAN,0,0,4268253
STATEN ISLAND,1,0,4271207
QUEENS,0,0,4268017
BROOKLYN,0,0,4268036
BROOKLYN,0,0,4297925
BRONX,0,0,4268090
BRONX,1,0,4268821
BROOKLYN,1,0,4270770
BRONX,0,0,4268057
QUEENS,1,0,4268169
QUEENS,0,0,4268232
BRONX,0,0,4268467
BROOKLYN,0,0,4268725
BROOKLYN,0,0,4268216
BRONX,2,0,4268397
QUEENS,0,0,4268064
QUEENS,0,0,4268068
STATEN ISLAND,0,0,4267914
BRONX,0,0,4268089
BRONX,0,0,4268010
BROOKLYN,0,0,4268702
QUEENS,0,0,4269411
BROOKLYN,0,0,4268159
BROOKLYN,0,0,4269401
STATEN ISLAND,0,0,4270097
MANHATTAN,1,0,4268974
BRONX,0,0,4268163
STATEN ISLAND,1,0,4269343
QUEENS,2,0,4269256
BROOKLYN,0,0,4268191
QUEENS,0,0,4268004
MANHATTAN,0,0,4268257
BROOKLYN,0,0,4268460
STATEN ISLAND,1,0,4270617
QUEENS,0,0,4270294
BRONX,0,0,4269093
BROOKLYN,0,0,4268303
BRONX,1,0,4268738
BRONX,0,0,4271356
BROOKLYN,0,0,4268466
QUEENS,0,0,4269171
QUEENS,0,0,4268706
STATEN ISLAND,4,0,4268153
MANHATTAN,0,0,4268085
BROOKLYN,3,0,4271706
QUEENS,0,0,4268730
BRONX,1,0,4267977
BROOKLYN,0,0,4271436
BRONX,0,0,4268413
MANHATTAN,0,0,4268265
BRONX,0,0,4268012
MANHATTAN,0,0,4267966
MANHATTAN,1,0,4268270
BROOKLYN,1,0,4267973
MANHATTAN,0,0,4267839
BROOKLYN,1,0,4268202
MANHATTAN,0,0,4268419
QUEENS,0,0,4268122
MANHATTAN,0,0,4268268
MANHATTAN,0,0,4268273
BROOKLYN,0,0,4268228
QUEENS,0,0,4268570
QUEENS,0,0,4267920
MANHATTAN,1,0,4268375
BROOKLYN,0,0,4281119
BROOKLYN,1,0,4268246
BROOKLYN,5,0,4271402
BRONX,0,0,4269486
QUEENS,1,0,4268227
BROOKLYN,0,0,4268354
BROOKLYN,0,0,4267968
BROOKLYN,0,0,4268127
BROOKLYN,0,0,4268401
BROOKLYN,0,0,4268141
MANHATTAN,0,0,4268394
BRONX,0,0,4267919
MANHATTAN,0,0,4269414
MANHATTAN,0,0,4267912
BRONX,0,0,4268863
MANHATTAN,0,0,4285675
MANHATTAN,0,0,4268280
BROOKLYN,1,0,4270923
MANHATTAN,1,0,4268125
MANHATTAN,0,0,4268386
BRONX,0,0,4268399
QUEENS,0,0,4267999
BROOKLYN,0,0,4268458
QUEENS,1,0,4268172
QUEENS,0,0,4268136
BROOKLYN,0,0,4268362
MANHATTAN,0,0,4271257
QUEENS,0,0,4267732
BRONX,0,0,4268398
BROOKLYN,0,0,4269564
QUEENS,0,0,4268123
QUEENS,0,0,4270265
QUEENS,0,0,4268487
BROOKLYN,0,0,4267906
BRONX,0,0,4268323
QUEENS,0,0,4268139
MANHATTAN,0,0,4268366
BRONX,3,0,4268124
QUEENS,1,0,4269522
QUEENS,0,0,4267986
MANHATTAN,1,0,4269098
MANHATTAN,2,0,4268497
BRONX,0,0,4268825
BROOKLYN,0,0,4268034
BROOKLYN,0,0,4268245
BRONX,0,0,4268396
QUEENS,0,0,4269769
BROOKLYN,2,0,4268135
QUEENS,0,0,4267989
BROOKLYN,0,0,4268296
BROOKLYN,1,0,4269399
BROOKLYN,0,0,4272829
QUEENS,0,0,4270299
BROOKLYN,0,0,4268158
BRONX,0,0,4268144
BRONX,0,0,4268030
QUEENS,0,0,4267864
BRONX,0,0,4268447
QUEENS,0,0,4267924
QUEENS,0,0,4267985
QUEENS,0,0,4268605
QUEENS,0,0,4267923
QUEENS,0,0,4267995
BRONX,1,0,4270001
BROOKLYN,0,0,4274813
BROOKLYN,2,0,4269007
BROOKLYN,1,0,4273744
BROOKLYN,1,0,4268071
BROOKLYN,0,0,4269077
BROOKLYN,0,0,4270024
BRONX,1,0,4267964
BROOKLYN,0,0,4268699
BROOKLYN,0,0,4268069
BROOKLYN,0,0,4267957
BROOKLYN,0,0,4268028
BROOKLYN,0,0,4268142
BRONX,0,0,4272255
QUEENS,0,0,4268212
BROOKLYN,0,0,4268113
BROOKLYN,1,0,4354121
BRONX,0,0,4268324
QUEENS,0,0,4268387
MANHATTAN,0,0,4270272
BROOKLYN,0,0,4269402
BROOKLYN,0,0,4267823
BRONX,0,0,4268395
QUEENS,0,0,4270279
BROOKLYN,1,0,4268380
MANHATTAN,0,0,4267998
BRONX,0,0,4268184
QUEENS,1,0,4268073
BROOKLYN,0,0,4268704
BROOKLYN,0,0,4268302
BROOKLYN,0,0,4268131
QUEENS,0,0,4268015
BRONX,0,0,4268463
MANHATTAN,1,0,4268082
BROOKLYN,0,0,4268248
MANHATTAN,1,0,4271936
QUEENS,1,0,4268275
BRONX,0,0,4276329
MANHATTAN,0,0,4268312
BROOKLYN,0,0,4268546
QUEENS,0,0,4268234
QUEENS,1,0,4269184
QUEENS,0,0,4268116
MANHATTAN,0,0,4267909
QUEENS,0,0,4267990
BRONX,0,0,4268008
BROOKLYN,0,0,4268317
STATEN ISLAND,0,0,4271196
QUEENS,0,0,4270293
MANHATTAN,0,0,4268271
MANHATTAN,0,0,4268418
